Gene	Module	kME
ENSMUSG00000001349	P5_I8_M12	0.84
ENSMUSG00000001366	UNCLASSIFIED	NA
ENSMUSG00000001376	P1_I9_M1	0.9
ENSMUSG00000001380	P1_I9_M1	0.92
ENSMUSG00000001383	P1_I9_M1	0.93
ENSMUSG00000001403	P1_I9_M4	0.96
ENSMUSG00000001415	P4_I9_M8	0.9
ENSMUSG00000001416	P4_I9_M2	0.89
ENSMUSG00000001418	P3_I9_M7	0.85
ENSMUSG00000001419	P1_I9_M1	0.87
ENSMUSG00000001420	P1_I9_M7	0.91
ENSMUSG00000001424	P4_I9_M19	0.9
ENSMUSG00000001435	UNCLASSIFIED	NA
ENSMUSG00000001436	P3_I9_M12	0.83
ENSMUSG00000001440	P3_I9_M6	0.94
ENSMUSG00000001441	P5_I8_M3	0.92
ENSMUSG00000001444	UNCLASSIFIED	NA
ENSMUSG00000001445	P2_I12_M13	0.88
ENSMUSG00000001467	P2_I12_M17	0.87
ENSMUSG00000001472	P1_I9_M1	0.94
ENSMUSG00000001473	P3_I9_M12	0.92
ENSMUSG00000001482	UNCLASSIFIED	NA
ENSMUSG00000001493	P2_I12_M3	0.87
ENSMUSG00000001504	P1_I9_M3	0.96
ENSMUSG00000001506	P3_I9_M12	0.94
ENSMUSG00000001507	P4_I9_M6	0.91
ENSMUSG00000001508	P1_I9_M4	0.97
ENSMUSG00000001510	UNCLASSIFIED	NA
ENSMUSG00000001517	P5_I8_M10	0.93
ENSMUSG00000001518	P4_I9_M6	0.85
ENSMUSG00000001520	P5_I8_M12	0.88
ENSMUSG00000001521	P1_I9_M1	0.97
ENSMUSG00000001524	UNCLASSIFIED	NA
ENSMUSG00000001525	P3_I9_M7	0.91
ENSMUSG00000001542	P4_I9_M16	0.88
ENSMUSG00000001552	P2_I12_M3	0.91
ENSMUSG00000001555	P1_I9_M1	0.93
ENSMUSG00000001558	P5_I8_M15	0.83
ENSMUSG00000001569	P7_I7_M1	0.93
ENSMUSG00000001576	P4_I9_M7	0.9
ENSMUSG00000001583	P4_I9_M10	0.92
ENSMUSG00000001588	P6_I6_M7	0.88
ENSMUSG00000001604	UNCLASSIFIED	NA
ENSMUSG00000001627	P1_I9_M1	0.91
ENSMUSG00000001630	P10_I3_M1	0.86
ENSMUSG00000001632	P1_I9_M1	0.9
ENSMUSG00000001642	P2_I12_M4	0.92
ENSMUSG00000001656	P4_I9_M21	0.87
ENSMUSG00000001657	P3_I9_M2	0.93
ENSMUSG00000001661	P3_I9_M2	0.9
ENSMUSG00000001663	P2_I12_M19	0.8
ENSMUSG00000001665	UNCLASSIFIED	NA
ENSMUSG00000001666	P2_I12_M19	0.92
ENSMUSG00000001670	P1_I9_M2	0.91
ENSMUSG00000001672	P7_I7_M6	0.81
ENSMUSG00000001674	P1_I9_M1	0.83
ENSMUSG00000001687	P3_I9_M4	0.89
ENSMUSG00000001700	P4_I9_M19	0.86
ENSMUSG00000001707	P3_I9_M7	0.91
ENSMUSG00000001729	P1_I9_M1	0.94
ENSMUSG00000001739	P1_I9_M1	0.86
ENSMUSG00000001741	P1_I9_M1	0.87
ENSMUSG00000001750	P2_I12_M1	0.85
ENSMUSG00000001751	P8_I5_M1	0.83
ENSMUSG00000001755	P6_I6_M2	0.81
ENSMUSG00000001761	P3_I9_M3	0.9
ENSMUSG00000001763	P2_I12_M10	0.86
ENSMUSG00000001767	P1_I9_M1	0.93
ENSMUSG00000001768	P1_I9_M1	0.92
ENSMUSG00000001773	P2_I12_M1	0.92
ENSMUSG00000001774	UNCLASSIFIED	NA
ENSMUSG00000001783	P2_I12_M4	0.92
ENSMUSG00000001785	P1_I9_M1	0.87
ENSMUSG00000001786	UNCLASSIFIED	NA
ENSMUSG00000001794	P2_I12_M4	0.9
ENSMUSG00000001802	P5_I8_M8	0.84
ENSMUSG00000001827	UNCLASSIFIED	NA
ENSMUSG00000001829	P5_I8_M13	0.89
ENSMUSG00000001833	P1_I9_M1	0.95
ENSMUSG00000001844	P4_I9_M6	0.9
ENSMUSG00000001847	P1_I9_M1	0.97
ENSMUSG00000001855	P8_I5_M1	0.9
ENSMUSG00000001864	P2_I12_M7	0.89
ENSMUSG00000001865	P4_I9_M4	0.81
ENSMUSG00000001870	P1_I9_M1	0.94
ENSMUSG00000001891	UNCLASSIFIED	NA
ENSMUSG00000001901	P5_I8_M7	0.94
ENSMUSG00000001909	P5_I8_M12	0.86
ENSMUSG00000001910	P1_I9_M1	0.94
ENSMUSG00000001911	P5_I8_M8	0.86
ENSMUSG00000001918	P3_I9_M2	0.87
ENSMUSG00000001924	P3_I9_M4	0.85
ENSMUSG00000001930	P9_I6_M3	0.87
ENSMUSG00000001942	UNCLASSIFIED	NA
ENSMUSG00000001943	P3_I9_M3	0.84
ENSMUSG00000001946	P3_I9_M3	0.93
ENSMUSG00000001948	P1_I9_M3	0.86
ENSMUSG00000001962	P1_I9_M1	0.9
ENSMUSG00000001964	P1_I9_M1	0.9
ENSMUSG00000001983	UNCLASSIFIED	NA
ENSMUSG00000001985	P3_I9_M1	0.84
ENSMUSG00000001986	P5_I8_M1	0.9
ENSMUSG00000001988	UNCLASSIFIED	NA
ENSMUSG00000001995	P3_I9_M3	0.91
ENSMUSG00000001998	P5_I8_M8	0.81
