Gene	Module	kME
ENSMUSG00000042225	P4_I9_M1	0.89
ENSMUSG00000042228	P2_I12_M1	0.9
ENSMUSG00000042229	P3_I9_M7	0.89
ENSMUSG00000042246	UNCLASSIFIED	NA
ENSMUSG00000042248	P1_I9_M2	0.97
ENSMUSG00000042249	P5_I8_M4	0.9
ENSMUSG00000042251	P2_I12_M17	0.9
ENSMUSG00000042254	P1_I9_M1	0.87
ENSMUSG00000042256	P3_I9_M13	0.88
ENSMUSG00000042258	UNCLASSIFIED	NA
ENSMUSG00000042262	UNCLASSIFIED	NA
ENSMUSG00000042265	UNCLASSIFIED	NA
ENSMUSG00000042268	P1_I9_M3	0.8
ENSMUSG00000042269	P1_I9_M3	0.97
ENSMUSG00000042271	UNCLASSIFIED	NA
ENSMUSG00000042272	P1_I9_M1	0.95
ENSMUSG00000042275	UNCLASSIFIED	NA
ENSMUSG00000042279	UNCLASSIFIED	NA
ENSMUSG00000042284	P2_I12_M2	0.87
ENSMUSG00000042286	P2_I12_M3	0.93
ENSMUSG00000042289	P2_I12_M19	0.92
ENSMUSG00000042292	P3_I9_M1	0.92
ENSMUSG00000042293	UNCLASSIFIED	NA
ENSMUSG00000042298	P3_I9_M14	0.82
ENSMUSG00000042302	P2_I12_M2	0.91
ENSMUSG00000042303	P3_I9_M1	0.89
ENSMUSG00000042305	P2_I12_M16	0.89
ENSMUSG00000042306	UNCLASSIFIED	NA
ENSMUSG00000042308	P2_I12_M5	0.95
ENSMUSG00000042312	P4_I9_M4	0.95
ENSMUSG00000042320	UNCLASSIFIED	NA
ENSMUSG00000042323	P2_I12_M2	0.95
ENSMUSG00000042328	P3_I9_M1	0.92
ENSMUSG00000042331	P8_I5_M1	0.84
ENSMUSG00000042333	UNCLASSIFIED	NA
ENSMUSG00000042340	UNCLASSIFIED	NA
ENSMUSG00000042345	P6_I6_M7	0.83
ENSMUSG00000042348	P2_I12_M7	0.89
ENSMUSG00000042349	P4_I9_M19	0.88
ENSMUSG00000042350	P4_I9_M14	0.83
ENSMUSG00000042351	P6_I6_M7	0.92
ENSMUSG00000042354	P1_I9_M1	0.82
ENSMUSG00000042357	UNCLASSIFIED	NA
ENSMUSG00000042359	P7_I7_M2	0.92
ENSMUSG00000042363	P5_I8_M17	0.87
ENSMUSG00000042364	P4_I9_M1	0.94
ENSMUSG00000042367	P1_I9_M3	0.97
ENSMUSG00000042369	P4_I9_M7	0.88
ENSMUSG00000042371	UNCLASSIFIED	NA
ENSMUSG00000042377	UNCLASSIFIED	NA
ENSMUSG00000042379	P2_I12_M7	0.88
ENSMUSG00000042380	P2_I12_M4	0.9
ENSMUSG00000042388	UNCLASSIFIED	NA
ENSMUSG00000042389	P2_I12_M7	0.87
ENSMUSG00000042390	P2_I12_M2	0.94
ENSMUSG00000042396	P11_I1_M3	0.87
ENSMUSG00000042401	UNCLASSIFIED	NA
ENSMUSG00000042404	P3_I9_M20	0.96
ENSMUSG00000042406	UNCLASSIFIED	NA
ENSMUSG00000042408	P6_I6_M1	0.91
ENSMUSG00000042410	P1_I9_M1	0.94
ENSMUSG00000042417	P1_I9_M3	0.9
ENSMUSG00000042419	P2_I12_M4	0.88
ENSMUSG00000042423	P2_I12_M5	0.94
ENSMUSG00000042425	UNCLASSIFIED	NA
ENSMUSG00000042426	P1_I9_M1	0.9
ENSMUSG00000042428	P4_I9_M1	0.91
ENSMUSG00000042429	P5_I8_M4	0.87
ENSMUSG00000042433	P1_I9_M3	0.86
ENSMUSG00000042436	P2_I12_M8	0.91
ENSMUSG00000042439	P1_I9_M1	0.91
ENSMUSG00000042444	P4_I9_M16	0.9
ENSMUSG00000042446	P2_I12_M2	0.94
ENSMUSG00000042447	P7_I7_M1	0.87
ENSMUSG00000042451	P2_I12_M9	0.9
ENSMUSG00000042453	P2_I12_M19	0.89
ENSMUSG00000042460	P4_I9_M1	0.93
ENSMUSG00000042462	UNCLASSIFIED	NA
ENSMUSG00000042472	P1_I9_M1	0.88
ENSMUSG00000042473	P4_I9_M14	0.86
ENSMUSG00000042474	P6_I6_M7	0.86
ENSMUSG00000042476	P1_I9_M2	0.96
ENSMUSG00000042485	P2_I12_M7	0.86
ENSMUSG00000042487	P1_I9_M1	0.87
ENSMUSG00000042489	P5_I8_M10	0.94
ENSMUSG00000042492	P4_I9_M7	0.93
ENSMUSG00000042496	P2_I12_M2	0.8
ENSMUSG00000042498	P1_I9_M3	0.87
ENSMUSG00000042500	P2_I12_M5	0.89
ENSMUSG00000042502	P1_I9_M1	0.94
ENSMUSG00000042505	P4_I9_M16	0.83
ENSMUSG00000042506	P3_I9_M1	0.94
ENSMUSG00000042507	P2_I12_M2	0.94
ENSMUSG00000042508	P2_I12_M2	0.87
ENSMUSG00000042510	P2_I12_M8	0.83
ENSMUSG00000042514	P1_I9_M3	0.99
ENSMUSG00000042515	P4_I9_M16	0.81
ENSMUSG00000042520	P1_I9_M1	0.94
ENSMUSG00000042523	P7_I7_M1	0.93
ENSMUSG00000042524	P6_I6_M10	0.94
ENSMUSG00000042529	P1_I9_M4	0.98
ENSMUSG00000042532	P4_I9_M22	0.83
ENSMUSG00000042535	P3_I9_M4	0.95
ENSMUSG00000042540	P1_I9_M3	0.94
ENSMUSG00000042541	P6_I6_M5	0.88
ENSMUSG00000042548	P8_I5_M1	0.93
ENSMUSG00000042549	UNCLASSIFIED	NA
ENSMUSG00000042557	P3_I9_M17	0.95
ENSMUSG00000042558	P2_I12_M4	0.95
ENSMUSG00000042564	P1_I9_M3	0.93
ENSMUSG00000042567	P1_I9_M3	0.9
ENSMUSG00000042569	UNCLASSIFIED	NA
ENSMUSG00000042570	P3_I9_M1	0.9
ENSMUSG00000042572	P1_I9_M1	0.95
ENSMUSG00000042579	UNCLASSIFIED	NA
ENSMUSG00000042581	UNCLASSIFIED	NA
ENSMUSG00000042589	P8_I5_M1	0.8
ENSMUSG00000042590	P3_I9_M6	0.89
ENSMUSG00000042594	P1_I9_M1	0.96
ENSMUSG00000042595	P11_I1_M3	0.83
ENSMUSG00000042599	P2_I12_M2	0.93
ENSMUSG00000042605	UNCLASSIFIED	NA
ENSMUSG00000042606	P3_I9_M1	0.95
ENSMUSG00000042607	P1_I9_M4	0.81
ENSMUSG00000042608	UNCLASSIFIED	NA
ENSMUSG00000042613	P3_I9_M14	0.88
ENSMUSG00000042616	P4_I9_M17	0.83
ENSMUSG00000042622	P3_I9_M12	0.85
ENSMUSG00000042625	P2_I12_M5	0.93
ENSMUSG00000042626	P4_I9_M7	0.89
ENSMUSG00000042628	UNCLASSIFIED	NA
ENSMUSG00000042632	P2_I12_M6	0.87
ENSMUSG00000042638	P2_I12_M12	0.84
ENSMUSG00000042641	UNCLASSIFIED	NA
ENSMUSG00000042642	UNCLASSIFIED	NA
ENSMUSG00000042644	P3_I9_M1	0.93
ENSMUSG00000042647	UNCLASSIFIED	NA
ENSMUSG00000042650	P3_I9_M17	0.8
ENSMUSG00000042659	P4_I9_M7	0.88
ENSMUSG00000042660	UNCLASSIFIED	NA
ENSMUSG00000042662	P5_I8_M14	0.91
ENSMUSG00000042670	P6_I6_M5	0.86
ENSMUSG00000042672	P3_I9_M16	0.9
ENSMUSG00000042675	P6_I6_M10	0.88
ENSMUSG00000042677	P4_I9_M10	0.87
ENSMUSG00000042678	P1_I9_M3	0.97
ENSMUSG00000042680	P2_I12_M16	0.88
ENSMUSG00000042682	P4_I9_M4	0.83
ENSMUSG00000042684	P3_I9_M10	0.96
ENSMUSG00000042686	P1_I9_M4	0.92
ENSMUSG00000042688	P4_I9_M22	0.8
ENSMUSG00000042694	P1_I9_M1	0.93
ENSMUSG00000042699	P2_I12_M2	0.91
ENSMUSG00000042700	P3_I9_M6	0.81
ENSMUSG00000042705	P1_I9_M1	0.95
ENSMUSG00000042707	P1_I9_M3	0.98
ENSMUSG00000042709	P2_I12_M13	0.89
ENSMUSG00000042712	P4_I9_M2	0.88
ENSMUSG00000042717	P1_I9_M4	0.98
ENSMUSG00000042719	UNCLASSIFIED	NA
ENSMUSG00000042724	UNCLASSIFIED	NA
ENSMUSG00000042726	P6_I6_M4	0.89
ENSMUSG00000042729	P4_I9_M2	0.84
ENSMUSG00000042734	P4_I9_M10	0.93
ENSMUSG00000042737	UNCLASSIFIED	NA
ENSMUSG00000042742	P3_I9_M6	0.91
ENSMUSG00000042743	P7_I7_M1	0.88
ENSMUSG00000042744	P4_I9_M9	0.9
ENSMUSG00000042745	P6_I6_M10	0.84
ENSMUSG00000042747	P6_I6_M11	0.87
ENSMUSG00000042750	P1_I9_M3	0.95
ENSMUSG00000042751	P3_I9_M3	0.82
ENSMUSG00000042757	UNCLASSIFIED	NA
ENSMUSG00000042759	P3_I9_M12	0.95
ENSMUSG00000042761	P3_I9_M5	0.98
ENSMUSG00000042763	UNCLASSIFIED	NA
ENSMUSG00000042766	P2_I12_M1	0.9
ENSMUSG00000042770	UNCLASSIFIED	NA
ENSMUSG00000042772	P3_I9_M1	0.9
ENSMUSG00000042784	P5_I8_M14	0.85
ENSMUSG00000042787	P1_I9_M1	0.91
ENSMUSG00000042788	P1_I9_M3	0.96
ENSMUSG00000042790	P2_I12_M2	0.93
ENSMUSG00000042793	P1_I9_M7	0.91
ENSMUSG00000042797	P6_I6_M2	0.8
ENSMUSG00000042800	UNCLASSIFIED	NA
ENSMUSG00000042804	P3_I9_M12	0.94
ENSMUSG00000042807	UNCLASSIFIED	NA
ENSMUSG00000042810	P6_I6_M1	0.8
ENSMUSG00000042812	UNCLASSIFIED	NA
ENSMUSG00000042814	UNCLASSIFIED	NA
ENSMUSG00000042816	UNCLASSIFIED	NA
ENSMUSG00000042817	P2_I12_M1	0.87
ENSMUSG00000042821	P3_I9_M12	0.9
ENSMUSG00000042826	P2_I12_M18	0.93
ENSMUSG00000042828	P1_I9_M4	0.97
ENSMUSG00000042831	P2_I12_M8	0.93
ENSMUSG00000042834	P3_I9_M7	0.88
ENSMUSG00000042842	UNCLASSIFIED	NA
ENSMUSG00000042845	UNCLASSIFIED	NA
ENSMUSG00000042846	UNCLASSIFIED	NA
ENSMUSG00000042851	P3_I9_M3	0.87
ENSMUSG00000042854	UNCLASSIFIED	NA
ENSMUSG00000042857	P1_I9_M1	0.82
ENSMUSG00000042870	P1_I9_M1	0.89
ENSMUSG00000042873	P4_I9_M17	0.86
ENSMUSG00000042874	UNCLASSIFIED	NA
ENSMUSG00000042895	P1_I9_M4	0.97
ENSMUSG00000042901	P1_I9_M1	0.97
ENSMUSG00000042903	P3_I9_M14	0.85
ENSMUSG00000042918	P2_I12_M9	0.84
ENSMUSG00000042938	UNCLASSIFIED	NA
ENSMUSG00000042942	P9_I6_M3	0.87
ENSMUSG00000042961	P3_I9_M4	0.83
ENSMUSG00000042962	P1_I9_M6	0.92
ENSMUSG00000042976	UNCLASSIFIED	NA
ENSMUSG00000042978	P5_I8_M4	0.81
ENSMUSG00000042985	P4_I9_M12	0.83
ENSMUSG00000042988	P1_I9_M2	0.91
ENSMUSG00000042992	UNCLASSIFIED	NA
ENSMUSG00000042993	UNCLASSIFIED	NA
ENSMUSG00000042997	P4_I9_M1	0.92
ENSMUSG00000043004	P1_I9_M1	0.91
ENSMUSG00000043008	UNCLASSIFIED	NA
ENSMUSG00000043013	P1_I9_M2	0.83
ENSMUSG00000043015	P3_I9_M1	0.91
ENSMUSG00000043017	P2_I12_M1	0.89
ENSMUSG00000043019	P2_I12_M2	0.89
ENSMUSG00000043020	P1_I9_M3	0.93
ENSMUSG00000043024	UNCLASSIFIED	NA
ENSMUSG00000043029	UNCLASSIFIED	NA
ENSMUSG00000043050	P6_I6_M6	0.84
ENSMUSG00000043051	P4_I9_M1	0.84
ENSMUSG00000043059	P3_I9_M1	0.92
ENSMUSG00000043061	P5_I8_M17	0.94
ENSMUSG00000043065	P2_I12_M5	0.91
ENSMUSG00000043067	UNCLASSIFIED	NA
ENSMUSG00000043068	UNCLASSIFIED	NA
ENSMUSG00000043079	P3_I9_M14	0.81
ENSMUSG00000043085	P1_I9_M2	0.96
ENSMUSG00000043088	P4_I9_M24	0.88
ENSMUSG00000043090	P6_I6_M1	0.84
ENSMUSG00000043091	UNCLASSIFIED	NA
ENSMUSG00000043099	P8_I5_M1	0.87
ENSMUSG00000043102	UNCLASSIFIED	NA
ENSMUSG00000043110	P4_I9_M12	0.87
ENSMUSG00000043122	P3_I9_M2	0.92
ENSMUSG00000043126	P1_I9_M4	0.92
ENSMUSG00000043131	P1_I9_M1	0.95
ENSMUSG00000043140	P5_I8_M1	0.85
ENSMUSG00000043153	P3_I9_M15	0.89
ENSMUSG00000043154	P3_I9_M14	0.88
ENSMUSG00000043155	UNCLASSIFIED	NA
ENSMUSG00000043157	P3_I9_M12	0.89
ENSMUSG00000043162	P1_I9_M7	0.81
ENSMUSG00000043164	P1_I9_M3	0.92
ENSMUSG00000043165	UNCLASSIFIED	NA
ENSMUSG00000043168	P1_I9_M3	0.98
ENSMUSG00000043183	UNCLASSIFIED	NA
ENSMUSG00000043190	P4_I9_M18	0.87
ENSMUSG00000043192	P3_I9_M5	0.95
ENSMUSG00000043207	UNCLASSIFIED	NA
ENSMUSG00000043219	P5_I8_M8	0.85
ENSMUSG00000043223	UNCLASSIFIED	NA
ENSMUSG00000043230	UNCLASSIFIED	NA
ENSMUSG00000043241	P7_I7_M1	0.94
ENSMUSG00000043243	P5_I8_M11	0.89
ENSMUSG00000043251	P2_I12_M5	0.8
ENSMUSG00000043252	UNCLASSIFIED	NA
ENSMUSG00000043257	P7_I7_M2	0.85
ENSMUSG00000043259	P1_I9_M1	0.93
ENSMUSG00000043262	P2_I12_M7	0.9
ENSMUSG00000043263	UNCLASSIFIED	NA
ENSMUSG00000043279	P2_I12_M2	0.95
ENSMUSG00000043282	P2_I12_M21	0.86
ENSMUSG00000043284	P2_I12_M4	0.88
ENSMUSG00000043290	P2_I12_M5	0.85
ENSMUSG00000043298	UNCLASSIFIED	NA
ENSMUSG00000043300	P1_I9_M1	0.93
ENSMUSG00000043311	P3_I9_M4	0.81
ENSMUSG00000043313	P2_I12_M7	0.86
ENSMUSG00000043323	P3_I9_M1	0.93
ENSMUSG00000043329	UNCLASSIFIED	NA
ENSMUSG00000043333	UNCLASSIFIED	NA
ENSMUSG00000043336	P1_I9_M1	0.9
ENSMUSG00000043340	P6_I6_M1	0.8
ENSMUSG00000043342	P1_I9_M1	0.87
ENSMUSG00000043346	UNCLASSIFIED	NA
ENSMUSG00000043366	P9_I6_M4	0.84
ENSMUSG00000043372	P6_I6_M3	0.86
ENSMUSG00000043384	P2_I12_M5	0.93
ENSMUSG00000043391	P1_I9_M1	0.96
ENSMUSG00000043398	UNCLASSIFIED	NA
ENSMUSG00000043411	P2_I12_M2	0.92
ENSMUSG00000043415	P7_I7_M1	0.81
ENSMUSG00000043418	P1_I9_M2	0.96
ENSMUSG00000043419	P2_I12_M6	0.85
ENSMUSG00000043421	P2_I12_M1	0.88
ENSMUSG00000043424	P2_I12_M6	0.89
ENSMUSG00000043430	P10_I3_M5	0.81
ENSMUSG00000043432	P2_I12_M5	0.87
ENSMUSG00000043439	UNCLASSIFIED	NA
ENSMUSG00000043445	P3_I9_M7	0.88
ENSMUSG00000043448	UNCLASSIFIED	NA
ENSMUSG00000043458	UNCLASSIFIED	NA
ENSMUSG00000043460	P1_I9_M3	0.89
ENSMUSG00000043463	P1_I9_M5	0.84
ENSMUSG00000043467	UNCLASSIFIED	NA
ENSMUSG00000043483	P6_I6_M5	0.88
ENSMUSG00000043484	UNCLASSIFIED	NA
ENSMUSG00000043487	P2_I12_M5	0.87
ENSMUSG00000043488	P6_I6_M4	0.87
ENSMUSG00000043496	P4_I9_M7	0.92
ENSMUSG00000043501	P4_I9_M15	0.9
ENSMUSG00000043505	P1_I9_M1	0.84
ENSMUSG00000043510	P6_I6_M5	0.88
ENSMUSG00000043518	P4_I9_M7	0.89
ENSMUSG00000043531	UNCLASSIFIED	NA
ENSMUSG00000043535	P2_I12_M2	0.96
ENSMUSG00000043541	P1_I9_M3	0.98
ENSMUSG00000043542	P1_I9_M1	0.95
ENSMUSG00000043556	P2_I12_M3	0.88
ENSMUSG00000043557	P3_I9_M20	0.91
ENSMUSG00000043569	UNCLASSIFIED	NA
ENSMUSG00000043572	UNCLASSIFIED	NA
ENSMUSG00000043587	P5_I8_M16	0.84
ENSMUSG00000043592	P1_I9_M3	0.99
ENSMUSG00000043602	P3_I9_M14	0.84
ENSMUSG00000043613	P7_I7_M4	0.92
ENSMUSG00000043614	P1_I9_M3	0.91
ENSMUSG00000043618	UNCLASSIFIED	NA
ENSMUSG00000043621	P1_I9_M3	0.98
ENSMUSG00000043623	UNCLASSIFIED	NA
ENSMUSG00000043629	P2_I12_M7	0.88
ENSMUSG00000043631	P7_I7_M1	0.89
ENSMUSG00000043633	P2_I12_M4	0.87
ENSMUSG00000043635	UNCLASSIFIED	NA
ENSMUSG00000043639	P1_I9_M4	0.92
ENSMUSG00000043644	P5_I8_M2	0.84
ENSMUSG00000043648	UNCLASSIFIED	NA
ENSMUSG00000043661	UNCLASSIFIED	NA
ENSMUSG00000043664	P3_I9_M10	0.85
ENSMUSG00000043668	P5_I8_M11	0.9
ENSMUSG00000043671	UNCLASSIFIED	NA
ENSMUSG00000043673	P3_I9_M13	0.83
ENSMUSG00000043681	P1_I9_M2	0.94
ENSMUSG00000043683	P1_I9_M4	0.91
ENSMUSG00000043687	P3_I9_M8	0.94
ENSMUSG00000043702	P5_I8_M9	0.86
ENSMUSG00000043705	UNCLASSIFIED	NA
ENSMUSG00000043716	P2_I12_M4	0.93
ENSMUSG00000043719	P3_I9_M4	0.92
ENSMUSG00000043733	P1_I9_M1	0.95
ENSMUSG00000043740	UNCLASSIFIED	NA
ENSMUSG00000043747	UNCLASSIFIED	NA
ENSMUSG00000043753	UNCLASSIFIED	NA
ENSMUSG00000043760	P7_I7_M6	0.89
ENSMUSG00000043770	P2_I12_M4	0.86
ENSMUSG00000043773	UNCLASSIFIED	NA
ENSMUSG00000043782	UNCLASSIFIED	NA
ENSMUSG00000043789	P1_I9_M2	0.98
ENSMUSG00000043794	UNCLASSIFIED	NA
ENSMUSG00000043795	P2_I12_M9	0.92
ENSMUSG00000043801	UNCLASSIFIED	NA
ENSMUSG00000043807	P2_I12_M21	0.96
ENSMUSG00000043811	UNCLASSIFIED	NA
ENSMUSG00000043822	P2_I12_M3	0.88
ENSMUSG00000043827	UNCLASSIFIED	NA
ENSMUSG00000043831	P7_I7_M1	0.91
ENSMUSG00000043832	P2_I12_M1	0.94
ENSMUSG00000043833	UNCLASSIFIED	NA
ENSMUSG00000043850	P3_I9_M10	0.88
ENSMUSG00000043866	P2_I12_M4	0.95
ENSMUSG00000043870	UNCLASSIFIED	NA
ENSMUSG00000043872	P7_I7_M1	0.81
ENSMUSG00000043873	P4_I9_M1	0.88
ENSMUSG00000043881	UNCLASSIFIED	NA
ENSMUSG00000043885	P1_I9_M1	0.94
ENSMUSG00000043889	P1_I9_M6	0.97
ENSMUSG00000043895	P2_I12_M1	0.91
ENSMUSG00000043903	P2_I12_M1	0.91
ENSMUSG00000043909	P2_I12_M5	0.92
ENSMUSG00000043913	P1_I9_M3	0.97
ENSMUSG00000043923	UNCLASSIFIED	NA
ENSMUSG00000043924	P7_I7_M6	0.87
ENSMUSG00000043929	P5_I8_M5	0.85
ENSMUSG00000043931	UNCLASSIFIED	NA
ENSMUSG00000043932	UNCLASSIFIED	NA
ENSMUSG00000043939	UNCLASSIFIED	NA
ENSMUSG00000043940	P2_I12_M2	0.96
ENSMUSG00000043943	P1_I9_M1	0.94
ENSMUSG00000043953	P5_I8_M2	0.83
ENSMUSG00000043962	P3_I9_M9	0.91
ENSMUSG00000043964	P4_I9_M6	0.89
ENSMUSG00000043969	P1_I9_M3	0.95
ENSMUSG00000043987	P3_I9_M1	0.93
ENSMUSG00000043991	P11_I1_M3	0.87
ENSMUSG00000043993	UNCLASSIFIED	NA
ENSMUSG00000043998	UNCLASSIFIED	NA
ENSMUSG00000043999	UNCLASSIFIED	NA
ENSMUSG00000044005	P1_I9_M2	0.97
ENSMUSG00000044006	P1_I9_M4	0.87
ENSMUSG00000044017	P1_I9_M1	0.91
ENSMUSG00000044018	UNCLASSIFIED	NA
ENSMUSG00000044022	P11_I1_M3	0.87
ENSMUSG00000044024	P3_I9_M1	0.89
ENSMUSG00000044026	UNCLASSIFIED	NA
ENSMUSG00000044030	P4_I9_M6	0.85
ENSMUSG00000044033	UNCLASSIFIED	NA
ENSMUSG00000044034	UNCLASSIFIED	NA
ENSMUSG00000044037	UNCLASSIFIED	NA
ENSMUSG00000044042	P4_I9_M1	0.95
ENSMUSG00000044043	P2_I12_M7	0.86
ENSMUSG00000044052	P5_I8_M8	0.8
ENSMUSG00000044055	UNCLASSIFIED	NA
ENSMUSG00000044056	P2_I12_M20	0.8
ENSMUSG00000044058	UNCLASSIFIED	NA
ENSMUSG00000044066	P5_I8_M1	0.91
ENSMUSG00000044068	P4_I9_M24	0.89
ENSMUSG00000044071	P3_I9_M5	0.83
ENSMUSG00000044072	P1_I9_M1	0.86
ENSMUSG00000044080	P3_I9_M8	0.83
ENSMUSG00000044081	UNCLASSIFIED	NA
ENSMUSG00000044083	P3_I9_M13	0.89
ENSMUSG00000044086	P1_I9_M4	0.98
ENSMUSG00000044092	UNCLASSIFIED	NA
ENSMUSG00000044098	P2_I12_M2	0.92
ENSMUSG00000044103	UNCLASSIFIED	NA
ENSMUSG00000044122	P2_I12_M13	0.88
ENSMUSG00000044125	P3_I9_M22	0.89
ENSMUSG00000044134	P5_I8_M12	0.8
ENSMUSG00000044139	UNCLASSIFIED	NA
ENSMUSG00000044141	UNCLASSIFIED	NA
ENSMUSG00000044145	UNCLASSIFIED	NA
ENSMUSG00000044147	P3_I9_M10	0.9
ENSMUSG00000044148	P1_I9_M1	0.95
ENSMUSG00000044149	P3_I9_M1	0.82
ENSMUSG00000044150	P1_I9_M1	0.86
ENSMUSG00000044155	P6_I6_M5	0.91
ENSMUSG00000044156	UNCLASSIFIED	NA
ENSMUSG00000044162	P2_I12_M1	0.94
ENSMUSG00000044164	P8_I5_M2	0.86
ENSMUSG00000044165	UNCLASSIFIED	NA
ENSMUSG00000044167	P4_I9_M23	0.87
ENSMUSG00000044172	P1_I9_M3	0.93
ENSMUSG00000044177	P3_I9_M14	0.82
ENSMUSG00000044186	P2_I12_M12	0.9
ENSMUSG00000044197	P9_I6_M3	0.83
ENSMUSG00000044199	P9_I6_M2	0.85
ENSMUSG00000044201	P5_I8_M10	0.88
ENSMUSG00000044206	UNCLASSIFIED	NA
ENSMUSG00000044211	P1_I9_M6	0.86
ENSMUSG00000044217	UNCLASSIFIED	NA
ENSMUSG00000044220	UNCLASSIFIED	NA
ENSMUSG00000044221	UNCLASSIFIED	NA
ENSMUSG00000044224	P2_I12_M9	0.8
ENSMUSG00000044229	P1_I9_M5	0.98
ENSMUSG00000044231	P6_I6_M3	0.86
ENSMUSG00000044243	UNCLASSIFIED	NA
ENSMUSG00000044244	P3_I9_M20	0.82
ENSMUSG00000044249	P1_I9_M3	0.87
ENSMUSG00000044250	P5_I8_M12	0.86
ENSMUSG00000044252	P2_I12_M19	0.83
ENSMUSG00000044254	P1_I9_M2	0.97
ENSMUSG00000044258	P2_I12_M7	0.92
ENSMUSG00000044268	UNCLASSIFIED	NA
ENSMUSG00000044276	UNCLASSIFIED	NA
ENSMUSG00000044279	P2_I12_M10	0.95
ENSMUSG00000044285	UNCLASSIFIED	NA
ENSMUSG00000044287	UNCLASSIFIED	NA
ENSMUSG00000044288	P3_I9_M13	0.87
ENSMUSG00000044296	UNCLASSIFIED	NA
ENSMUSG00000044303	UNCLASSIFIED	NA
ENSMUSG00000044306	P4_I9_M13	0.85
ENSMUSG00000044308	UNCLASSIFIED	NA
ENSMUSG00000044309	P6_I6_M7	0.83
ENSMUSG00000044313	P10_I3_M5	0.82
ENSMUSG00000044317	P6_I6_M10	0.91
ENSMUSG00000044320	P2_I12_M6	0.85
ENSMUSG00000044328	P3_I9_M2	0.92
ENSMUSG00000044330	UNCLASSIFIED	NA
ENSMUSG00000044337	P3_I9_M12	0.9
ENSMUSG00000044338	P4_I9_M22	0.82
ENSMUSG00000044339	P3_I9_M5	0.84
ENSMUSG00000044340	P3_I9_M17	0.81
ENSMUSG00000044345	P1_I9_M1	0.93
ENSMUSG00000044348	P7_I7_M1	0.89
ENSMUSG00000044349	UNCLASSIFIED	NA
ENSMUSG00000044350	P3_I9_M11	0.95
ENSMUSG00000044352	P5_I8_M7	0.88
ENSMUSG00000044359	P3_I9_M22	0.95
ENSMUSG00000044361	P2_I12_M12	0.84
ENSMUSG00000044362	P7_I7_M1	0.81
ENSMUSG00000044364	P1_I9_M7	0.86
ENSMUSG00000044365	P4_I9_M18	0.91
ENSMUSG00000044367	P3_I9_M1	0.87
ENSMUSG00000044377	UNCLASSIFIED	NA
ENSMUSG00000044378	P1_I9_M2	0.8
ENSMUSG00000044387	UNCLASSIFIED	NA
ENSMUSG00000044390	UNCLASSIFIED	NA
ENSMUSG00000044393	P2_I12_M10	0.9
ENSMUSG00000044400	UNCLASSIFIED	NA
ENSMUSG00000044405	P4_I9_M15	0.85
ENSMUSG00000044408	P3_I9_M7	0.87
ENSMUSG00000044424	UNCLASSIFIED	NA
ENSMUSG00000044433	UNCLASSIFIED	NA
ENSMUSG00000044434	UNCLASSIFIED	NA
ENSMUSG00000044442	P8_I5_M3	0.88
ENSMUSG00000044447	P3_I9_M6	0.86
ENSMUSG00000044452	P2_I12_M2	0.9
ENSMUSG00000044453	UNCLASSIFIED	NA
ENSMUSG00000044456	P9_I6_M2	0.81
ENSMUSG00000044461	P1_I9_M4	0.89
ENSMUSG00000044465	P8_I5_M1	0.92
ENSMUSG00000044468	UNCLASSIFIED	NA
ENSMUSG00000044469	P1_I9_M2	0.84
ENSMUSG00000044471	UNCLASSIFIED	NA
ENSMUSG00000044475	P5_I8_M12	0.9
ENSMUSG00000044477	P1_I9_M1	0.92
ENSMUSG00000044496	P3_I9_M10	0.94
ENSMUSG00000044499	P1_I9_M4	0.89
ENSMUSG00000044501	P10_I3_M4	0.81
ENSMUSG00000044502	P2_I12_M9	0.9
ENSMUSG00000044505	UNCLASSIFIED	NA
ENSMUSG00000044522	UNCLASSIFIED	NA
ENSMUSG00000044533	UNCLASSIFIED	NA
ENSMUSG00000044534	P3_I9_M3	0.83
ENSMUSG00000044544	UNCLASSIFIED	NA
ENSMUSG00000044548	P1_I9_M1	0.87
ENSMUSG00000044550	P1_I9_M3	0.92
ENSMUSG00000044551	P4_I9_M10	0.87
ENSMUSG00000044556	UNCLASSIFIED	NA
ENSMUSG00000044562	P2_I12_M3	0.91
ENSMUSG00000044566	P2_I12_M20	0.88
ENSMUSG00000044573	P1_I9_M5	0.96
ENSMUSG00000044576	UNCLASSIFIED	NA
ENSMUSG00000044583	P4_I9_M23	0.85
ENSMUSG00000044595	UNCLASSIFIED	NA
ENSMUSG00000044600	P5_I8_M2	0.93
ENSMUSG00000044609	UNCLASSIFIED	NA
ENSMUSG00000044617	P7_I7_M5	0.9
ENSMUSG00000044626	UNCLASSIFIED	NA
ENSMUSG00000044627	P4_I9_M11	0.88
ENSMUSG00000044628	P1_I9_M3	0.89
ENSMUSG00000044629	P1_I9_M1	0.93
ENSMUSG00000044636	UNCLASSIFIED	NA
ENSMUSG00000044641	UNCLASSIFIED	NA
ENSMUSG00000044645	UNCLASSIFIED	NA
ENSMUSG00000044646	UNCLASSIFIED	NA
ENSMUSG00000044667	P2_I12_M8	0.84
ENSMUSG00000044674	P2_I12_M3	0.87
ENSMUSG00000044676	UNCLASSIFIED	NA
ENSMUSG00000044678	P5_I8_M11	0.87
