Mixture	Mast Cells	Neutrophil Cells	Eosinophil Cells	B_cell_average	Plasma Cells	M0 Macrophage	M1 Macrophage	M2 Macrophage	Monocyte	NK_average	DC_average	Th_average	T_CD4_average	T_CD8_average	P-value	Correlation	RMSE
VAT_33	0.0155067512933969	0	0	0.0217290071566174	0	0.186174673435625	0.0643480837601656	0.372770611567766	0.288204726865023	0.0126674272160764	0.00341672210010172	0	0.0351819966052285	0	0.168	0.0667834888605964	1.05544393661313
VAT_34	0.0281459766616011	0	0.00212705798243588	0.039866744876871	0.0812153515276082	0.194569166535189	0.0410788203322636	0.287230341313425	0.201949154210595	0	0.00739937365245627	0	0.0937465299107046	0.0226714829968503	0.004	0.371957478086662	0.930391746354792
VAT_39	0.0314837356874079	0	0.000456922822717648	0	0	0.266864417614445	0.0262848568599754	0.36472766057703	0.26581593444727	0.00202087125394382	0.0106435589670207	0.00853354934372291	0.0231684924264669	0	0.204	0.0529652293268708	1.0647779768717
VAT_40	0.0177110897570501	0	6.25573779167739e-07	0	0.00201095814165701	0	0.0457160774268579	0.585899017965966	0.331069616309297	0.000511518426620631	0.00756786809996446	0	0.00951322829880756	0	0.002	0.396165027593886	0.921629818465248
VAT_42	0.0210254826689745	0	0	0.0241281836839985	0.0145116300525755	0.292974406433759	0.0588574833599576	0.286395803447516	0.225951973606587	0.0188062095244748	0.0160259257755485	0	0.0413229014466084	0	0.33	0.0199720513538882	1.06806349073545
VAT_43	0.0224917744874129	0	0.000350191287564516	0.029673922339066	0	0	0.0344670750702047	0.578938582792292	0.319696939337238	0.000472728014775304	0.0066916320512963	0	0	0.00721715462015018	0.004	0.378088221435126	0.929494646478218
VAT_45	0.0186023485196373	0	0	0.00911836392697423	0	0.325828231645148	0.0164098520134728	0.379184807836107	0.208915773506578	0.0102496272470136	0.00724683314756766	0	0.0244441621575011	0	0.49	-0.00173878700390162	1.08907305097643
VAT_48	0.0435617524548424	0	0.000462279880264839	0	0.00329039804578624	0	0.0501807797220516	0.509260454642155	0.318261628546231	0.00158989829790809	0.00865791890003125	0	0.064734889510729	0	0.056	0.15217927729076	1.02092798590257
VAT_49	0.0339816682340045	0	0	0.0328113384491434	0.0882472721666241	0.452093150504811	0.0586583338367931	0	0.18893121693918	0.0120983372013142	0	0	0.10380421891458	0.0293744637535495	0.982	-0.040319722106481	1.07097212931376
VAT_53	0.0285836756313287	0	0.000242584485046234	0.0405954918719242	0.0234716374179696	0.339611369042915	0.0597510996008457	0.155154538210891	0.189482328717434	0.0261109615989563	0.00425261774236603	0	0.0993383646981706	0.0334053309821523	0.434	0.00408681364518166	1.05921316085049
VAT_54	0.00773474494938126	0	0.00632710776077691	0.0214712987843092	0.0229695525670727	0.500168311215802	0.0772121121473614	0.0726667632417965	0.174516062877612	0.0367976798134825	0	0	0.0728736984606308	0.0072626681817751	0.524	-0.00507175352307563	1.07243731152193
VAT_57	0.00735781843819601	0	0.00980646716774753	0.00952399962237064	0.0829308124177018	0.315611125497406	0.146751728064175	0.0135407528417033	0.275598918782451	0.0265995327107725	0	0.0262962098092075	0.0859826346482694	0	0.974	-0.0369484070646654	1.07846052446212
VAT_59	0.0192741104085176	0	0	0.0123080002598256	0	0.513614788186468	0.0385413037421474	0.113919107132483	0.145728432177238	0.0339306518679015	0.00641729123065072	0	0.089264153762712	0.0270021612320559	0.132	0.082742601090091	1.04237178587797
VAT_63	0.0141466824410644	0	0	0.0348734001010239	0.0117237074016907	0.275121020169367	0.118690388673715	0.19139303761952	0.222027213986439	0.0131621611750849	0	0	0.118862388432095	0	0.134	0.0795469990027921	1.04012286668477
VAT_64	0.0213836471782884	0	0	0.0370066839239386	0.219316910820851	0.350223427461043	0.0427982877762289	0.0380557191032886	0.158484926126108	0.0153226365404792	0.0220423929156814	0	0.0953653681540932	0	0.132	0.0813879529720331	1.03941946882757
VAT_7	0.0394196958278915	0	0	0	0.00289064100044819	0.410634519287384	0.0833848077869672	0.0481830363075722	0.349365663160544	0.0163307128388596	0	0	0.0497909237903327	0	0.86	-0.0248993982702011	1.08804357048728
VAT_8	0.0141681710990135	0	0.000227607633986603	0.00987129333159246	0.00901345328416027	0.424392783034934	0.0687218676655503	0.0810009256286063	0.319500294666903	0.0211219800032109	0	0.0069394433135151	0.0450421803385274	0	0.51	-0.00382529394764493	1.07854090945564
VAT_9	0.0211746356807541	0	0	0.0156809884477479	0.000950838921089162	0	0.0407936857192947	0.4522991180924	0.358336779276742	0.0290860844095197	0.0222031955840634	0.00672671370027729	0.0527479601681116	0	0.102	0.10129428409182	1.03783480960822
